Entry	Reviewed	Gene Names	Organism (ID)	EC number	Gene Ontology (GO)
P04152	reviewed	umuC b1184 JW1173	83333		cytosol [GO:0005829]; DNA polymerase V complex [GO:0009355]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP-dependent activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; single-stranded DNA binding [GO:0003697]; DNA damage response [GO:0006974]; error-prone translesion synthesis [GO:0042276]; SOS response [GO:0009432]; translesion synthesis [GO:0019985]
P04391	reviewed	argI b4254 JW4211	83333	2.1.3.3	cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; metal ion binding [GO:0046872]; ornithine carbamoyltransferase activity [GO:0004585]; arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]
P04395	reviewed	alkA aidA b2068 JW2053	83333	3.2.2.21	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]; alkylated DNA binding [GO:0032131]; alkylbase DNA N-glycosylase activity [GO:0003905]; DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-3-methylguanine glycosylase activity [GO:0052822]; DNA-7-methyladenine glycosylase activity [GO:0052821]; DNA-7-methylguanine glycosylase activity [GO:0043916]; base-excision repair [GO:0006284]; base-excision repair, AP site formation [GO:0006285]; DNA alkylation repair [GO:0006307]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]
P04425	reviewed	gshB gsh-II b2947 JW2914	83333	6.3.2.3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; glutathione synthase activity [GO:0004363]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; glutathione biosynthetic process [GO:0006750]; protein homotetramerization [GO:0051289]
P04693	reviewed	tyrB b4054 JW4014	83333	2.6.1.107; 2.6.1.57	cytoplasm [GO:0005737]; cytosol [GO:0005829]; aromatic-amino-acid:2-oxoglutarate aminotransferase activity [GO:0008793]; identical protein binding [GO:0042802]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; aspartate biosynthetic process [GO:0006532]; L-leucine biosynthetic process [GO:0009098]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]; L-tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate [GO:0019292]
P04737	reviewed	traA ECOK12F074	83333		extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P04805	reviewed	gltX b2400 JW2395	83333	6.1.1.17	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]
P04825	reviewed	pepN b0932 JW0915	83333	3.4.11.2	plasma membrane [GO:0005886]; aminopeptidase activity [GO:0004177]; identical protein binding [GO:0042802]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]
P04968	reviewed	ilvA b3772 JW3745	83333	4.3.1.19	amino acid binding [GO:0016597]; L-serine ammonia-lyase activity [GO:0003941]; pyridoxal phosphate binding [GO:0030170]; threonine deaminase activity [GO:0004794]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567]; threonine metabolic process [GO:0006566]
P04982	reviewed	rbsD b3748 JW5857	83333	5.4.99.62	cytosol [GO:0005829]; D-ribose pyranase activity [GO:0062193]; identical protein binding [GO:0042802]; intramolecular lyase activity [GO:0016872]; intramolecular transferase activity [GO:0016866]; monosaccharide binding [GO:0048029]; D-ribose catabolic process [GO:0019303]
P04983	reviewed	rbsA b3749 JW3728	83333	7.5.2.7	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; ABC-type D-ribose transporter activity [GO:0015611]; ABC-type monosaccharide transporter activity [GO:0015407]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; D-ribose transmembrane transporter activity [GO:0015591]; D-ribose transmembrane transport [GO:0015752]
P04993	reviewed	recD hopE b2819 JW2787	83333	5.6.2.3	exodeoxyribonuclease V complex [GO:0009338]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; exodeoxyribonuclease V activity [GO:0008854]; helicase activity [GO:0004386]; isomerase activity [GO:0016853]; single-stranded DNA helicase activity [GO:0017116]; DNA damage response [GO:0006974]; DNA recombination [GO:0006310]; double-strand break repair via homologous recombination [GO:0000724]; recombinational repair [GO:0000725]
P04994	reviewed	xseA b2509 JW2493	83333	3.1.11.6	cytoplasm [GO:0005737]; exodeoxyribonuclease VII complex [GO:0009318]; DNA binding [GO:0003677]; exodeoxyribonuclease VII activity [GO:0008855]; DNA catabolic process [GO:0006308]; mismatch repair [GO:0006298]
P04995	reviewed	sbcB cpeA xonA b2011 JW1993	83333	3.1.11.1	3'-5'-RNA exonuclease activity [GO:0000175]; 5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; magnesium ion binding [GO:0000287]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]; single-stranded DNA binding [GO:0003697]; DNA catabolic process [GO:0006308]; DNA repair [GO:0006281]; DNA replication termination [GO:0006274]
P05020	reviewed	pyrC b1062 JW1049	83333	3.5.2.3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dihydroorotase activity [GO:0004151]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; pyrimidine nucleotide biosynthetic process [GO:0006221]
P05041	reviewed	pabB b1812 JW1801	83333	2.6.1.85	aminodeoxychorismate synthase complex [GO:0009356]; 4-amino-4-deoxychorismate synthase activity [GO:0046820]; magnesium ion binding [GO:0000287]; protein heterodimerization activity [GO:0046982]; tryptophan binding [GO:0120284]; folic acid biosynthetic process [GO:0046656]; para-aminobenzoic acid biosynthetic process [GO:0008153]; tetrahydrofolate biosynthetic process [GO:0046654]; tryptophan biosynthetic process [GO:0000162]
P05042	reviewed	fumC b1611 JW1603	83333	4.2.1.2	cytoplasm [GO:0005737]; fumarate hydratase activity [GO:0004333]; identical protein binding [GO:0042802]; fumarate metabolic process [GO:0006106]; malate metabolic process [GO:0006108]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]
P05050	reviewed	alkB aidD b2212 JW2200	83333	1.14.11.33	cytoplasm [GO:0005737]; cytosol [GO:0005829]; broad specificity oxidative DNA demethylase activity [GO:0035516]; dioxygenase activity [GO:0051213]; ferrous iron binding [GO:0008198]; oxidative RNA demethylase activity [GO:0035515]; DNA alkylation repair [GO:0006307]; DNA repair [GO:0006281]; oxidative demethylation [GO:0070989]; oxidative RNA demethylation [GO:0035513]; response to methyl methanesulfonate [GO:0072702]; RNA repair [GO:0042245]
P05055	reviewed	pnp b3164 JW5851	83333	2.7.7.8	bacterial degradosome [GO:1990061]; cytosol [GO:0005829]; membrane [GO:0016020]; 3'-5'-RNA exonuclease activity [GO:0000175]; cyclic-di-GMP binding [GO:0035438]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; response to heat [GO:0009408]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]
P05194	reviewed	aroD b1693 JW1683	83333	4.2.1.10	cytosol [GO:0005829]; 3-dehydroquinate dehydratase activity [GO:0003855]; protein homodimerization activity [GO:0042803]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
P05458	reviewed	ptrA ptr b2821 JW2789	83333	3.4.24.55	cytoplasm [GO:0005737]; outer membrane-bounded periplasmic space [GO:0030288]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]
P05523	reviewed	mutM fpg b3635 JW3610	83333	3.2.2.23; 4.2.99.18	cytoplasm [GO:0005737]; 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA N-glycosylase activity [GO:0019104]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity [GO:0000703]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]; DNA damage response [GO:0006974]
P05637	reviewed	apaH b0049 JW0048	83333	3.6.1.41	cytoplasm [GO:0005737]; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity [GO:0008803]; bis(5'-nucleosyl)-tetraphosphatase activity [GO:0008796]; hydrolase activity [GO:0016787]; phosphatase activity [GO:0016791]; nucleobase-containing small molecule interconversion [GO:0015949]; response to X-ray [GO:0010165]; RNA decapping [GO:0110154]
P05704	reviewed	trg b1421 JW1417	83333		methyl accepting chemotaxis protein complex [GO:0098561]; plasma membrane [GO:0005886]; protein homodimerization activity [GO:0042803]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]
P05791	reviewed	ilvD b3771 JW5605	83333	4.2.1.9	cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dihydroxy-acid dehydratase activity [GO:0004160]; hydro-lyase activity [GO:0016836]; iron-sulfur cluster binding [GO:0051536]; magnesium ion binding [GO:0000287]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]
P05793	reviewed	ilvC b3774 JW3747	83333	1.1.1.86	cytosol [GO:0005829]; protein-containing complex [GO:0032991]; 2-dehydropantoate 2-reductase activity [GO:0008677]; identical protein binding [GO:0042802]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; pantothenate biosynthetic process [GO:0015940]; valine biosynthetic process [GO:0009099]
P05804	reviewed	uidA gurA gusA b1617 JW1609	83333	3.2.1.31	cytosol [GO:0005829]; protein-containing complex [GO:0032991]; beta-glucuronidase activity [GO:0004566]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; carbohydrate metabolic process [GO:0005975]; glucuronoside catabolic process [GO:0019391]
P05824	reviewed	recN radB b2616 JW5416	83333		bacterial nucleoid [GO:0043590]; cytosol [GO:0005829]; ATP binding [GO:0005524]; DNA damage response [GO:0006974]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; recombinational interstrand cross-link repair [GO:0036298]; recombinational repair [GO:0000725]; response to ionizing radiation [GO:0010212]; response to radiation [GO:0009314]; response to UV [GO:0009411]; response to X-ray [GO:0010165]; SOS response [GO:0009432]
P05825	reviewed	fepA fep feuB b0584 JW5086	83333		cell envelope [GO:0030313]; cell outer membrane [GO:0009279]; membrane [GO:0016020]; transmembrane transporter complex [GO:1902495]; colicin transmembrane transporter activity [GO:0042912]; enterobactin binding [GO:1903981]; enterobactin transmembrane transporter activity [GO:0042931]; ferric-enterobactin transmembrane transporter activity [GO:0015620]; ligand-gated channel activity [GO:0022834]; protein domain specific binding [GO:0019904]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; colicin transport [GO:0042914]; enterobactin transport [GO:0042930]; ferric-enterobactin import into cell [GO:0015685]; intracellular iron ion homeostasis [GO:0006879]; siderophore transmembrane transport [GO:0044718]; siderophore-dependent iron import into cell [GO:0033214]
P05852	reviewed	tsaD gcp ygjD b3064 JW3036	83333	2.3.1.234	cytosol [GO:0005829]; EKC/KEOPS complex [GO:0000408]; glycosylation-dependent protein binding [GO:0140032]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; magnesium ion binding [GO:0000287]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; maintenance of translational fidelity [GO:1990145]; tRNA threonylcarbamoyladenosine modification [GO:0002949]
P06129	reviewed	btuB bfe cer dcrC b3966 JW3938	83333		cell outer membrane [GO:0009279]; membrane [GO:0016020]; pore complex [GO:0046930]; transmembrane transporter complex [GO:1902495]; ABC-type vitamin B12 transporter activity [GO:0015420]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; protein domain specific binding [GO:0019904]; cobalamin transport [GO:0015889]; monoatomic ion transmembrane transport [GO:0034220]
P06134	reviewed	ada b2213 JW2201	83333	2.1.1.63; 2.1.1.n11	DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; DNA alkylation repair [GO:0006307]; DNA damage response [GO:0006974]; methylation [GO:0032259]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]
P06136	reviewed	ftsQ b0093 JW0091	83333		cell division site [GO:0032153]; divisome complex [GO:1990586]; FtsQBL complex [GO:1990587]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
P06149	reviewed	dld b2133 JW2121	83333	1.1.5.12	cytoplasmic side of plasma membrane [GO:0009898]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]; D-lactate dehydrogenase (quinone) activity [GO:0102029]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor [GO:0016901]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; lactate oxidation [GO:0019516]; respiratory electron transport chain [GO:0022904]; transmembrane transport [GO:0055085]
P06609	reviewed	btuC b1711 JW1701	83333		ATP-binding cassette (ABC) transporter complex [GO:0043190]; BtuCD complex [GO:1990193]; cobalamin transport complex [GO:1990191]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ABC-type vitamin B12 transporter activity [GO:0015420]; identical protein binding [GO:0042802]; transmembrane transporter activity [GO:0022857]; cobalamin transport [GO:0015889]
P06611	reviewed	btuD b1709 JW1699	83333	7.6.2.8	ATP-binding cassette (ABC) transporter complex [GO:0043190]; BtuCD complex [GO:1990193]; cobalamin transport complex [GO:1990191]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]; ABC-type vitamin B12 transporter activity [GO:0015420]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; cobalamin transport [GO:0015889]
P06612	reviewed	topA supX b1274 JW1266	83333	5.6.2.1	chromosome [GO:0005694]; cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA topoisomerase activity [GO:0003916]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]
P06616	reviewed	era rbaA sdgE b2566 JW2550	83333		cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; small ribosomal subunit rRNA binding [GO:0070181]; protein phosphorylation [GO:0006468]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]
